feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
momentum__mfi_long_acceleration,-0.0062321010169041,0.12147785236277213,-0.051302364140362246,2553,121.57142857142857,-0.5656569649529105,0.5726781697740754
candle__gap_log,-0.005515022558970347,0.14184165169317695,-0.03888154497030323,2553,121.57142857142857,-0.42870571540149166,0.6689023473773882
momentum__cmf_short_acceleration,-0.004244299708693033,0.11805431892334782,-0.03595209177775901,2553,121.57142857142857,-0.3964057302130415,0.6925064235995392
volatility__bb_bandwidth,0.004494378487833654,0.12523596221281943,0.035887283559942175,2553,121.57142857142857,0.39569115846944736,0.693032156001395
momentum__rsi_long_acceleration,-0.004792665791240494,0.13618718919805553,-0.035191752025005615,2553,121.57142857142857,-0.38802226710988297,0.6986837737868886
candle__skew_log,0.0036986636430614266,0.11938348953550044,0.03098136649759743,2553,121.57142857142857,0.34159879445666813,0.7332474753117112
trend__adx,-0.0025125851551359634,0.11108238365150346,-0.022619114503508016,2553,121.57142857142857,-0.24939707700352307,0.8034780214553213
candle__body_size,0.001273534739295357,0.10589801035233663,0.012026049734628055,2553,121.57142857142857,0.1325985440875713,0.8947319211413465
momentum__stochastic_short_acceleration,-0.0015822547921777444,0.13700699481942127,-0.011548715408751185,2553,121.57142857142857,-0.1273354828121763,0.8988870014393014
momentum__willr_short_acceleration,-0.0015822547921777444,0.13700699481942127,-0.011548715408751185,2553,121.57142857142857,-0.1273354828121763,0.8988870014393014
momentum__cci_long_acceleration,0.0014321308999801908,0.13700166589999085,0.010453383107221666,2553,121.57142857142857,0.11525841081598312,0.9084320344919236
momentum__cci_short_acceleration,0.0009040608266370094,0.13699709402191246,0.006599124113482337,2553,121.57142857142857,0.0727615691777285,0.942116419129615
momentum__rsi_short_acceleration,0.0006251742735886812,0.1363893753658481,0.00458374614526774,2553,121.57142857142857,0.05054012570556841,0.9597756059471196
momentum__willr_long_acceleration,0.00042620693053060607,0.1348021277982874,0.003161722574352575,2553,121.57142857142857,0.03486097425331542,0.9722482475877539
momentum__stochastic_long_acceleration,0.00042620693053060607,0.1348021277982874,0.003161722574352575,2553,121.57142857142857,0.03486097425331542,0.9722482475877539
momentum__mfi_short_acceleration,-0.000239867648130139,0.12683294804314038,-0.0018912092782748494,2553,121.57142857142857,-0.02085236652082642,0.9833978934756067
