variant,causal,horizon,split,n_features,mean_abs_ic,mean_abs_icir,top5_mean_abs_icir,n_sig_t2,best_feature,best_icir,n_signal,lam_plus,top_eig_share
demean,True,21,train,62,0.01800864064436185,0.11161489329877113,0.23800448607008295,9,volume__price_zvel12_26,-0.26802046695701087,7,1.3582,0.291
volnorm_cs,True,21,train,62,0.01800864064436185,0.11161489329877113,0.23800448607008295,9,volume__price_zvel12_26,-0.26802046695701087,7,1.3582,0.3006
signal+demean,True,21,train,62,0.019870024339392587,0.12065577856782053,0.23661272266799518,14,trend__acc26_52,-0.2498092845873467,7,1.3582,0.3572
signal+demean+hpca,True,21,train,19,0.013747471085411092,0.08437374291387026,0.18743516749820066,2,hpc2_pc1,-0.23293353327644833,6,1.1915,0.3033
kalman+zca,True,21,train,62,0.009771381165163505,0.06702979592247486,0.1804243828879696,2,trend__acc52_104,-0.20214245575854967,5,1.3582,0.0453
raw+zca,True,21,train,62,0.009573620612526913,0.06573416510525172,0.17413375951048596,1,trend__acc52_104,-0.20208085501714834,6,1.3582,0.0453
demean+zca,True,21,train,62,0.009739859660100497,0.06660896998029317,0.1728637936743519,0,trend__acc52_104,-0.1934383806527774,6,1.3582,0.0453
demean+hpca,True,21,train,22,0.00996010240087818,0.0654698662299761,0.14226256923741964,1,hpc1_pc1,-0.2228159206825584,2,1.2067,0.0834
kalman+hpca,True,21,train,20,0.009738933957558095,0.06353923525486352,0.13484179400576324,1,hpc2_pc1,-0.22500867067066593,3,1.1967,0.0925
raw+hpca,True,21,train,20,0.00901665987293011,0.05900592641126099,0.1318530063692617,1,hpc2_pc1,-0.2252366347762516,3,1.1967,0.0924
raw+pca,True,21,train,20,0.008701602894954596,0.05584193208775734,0.12058864416270063,1,pc1,-0.219401802492119,0,1.1967,0.05
kalman+pca,True,21,train,16,0.00922820678912117,0.05847921032601615,0.11859664250795232,1,pc1,-0.21882715630299135,0,1.1751,0.0625
ssa+zca,False,63,train,62,0.042460853566104274,0.3014495800700817,1.4026446761176836,15,momentum__rsi_short_position,-2.614442693166702,0,1.3582,0.0161
ssa+none,False,63,train,62,0.02615077516778239,0.16140825600048025,0.5475432958254668,10,trend__rel6,0.801658001880485,6,1.3582,0.3154
ssa+hpca,False,63,train,23,0.02776027139246057,0.18780637633879887,0.4236891891042145,4,trend__minus_di,-0.48113623462649807,7,1.2116,0.1153
ssa+pca,False,63,train,15,0.02197541764053548,0.1545543216320891,0.3011775554685716,1,pc11,-0.4983929659235184,0,1.1693,0.0667
kalman+zca,True,63,train,62,0.010734115641131383,0.07618788680747231,0.1945542846834147,0,trend__acc26_52,-0.21588604808549564,5,1.3582,0.0453
raw+zca,True,63,train,62,0.009433158208650977,0.06664364025169976,0.18544348354281706,0,trend__acc26_52,-0.21884187401344685,6,1.3582,0.0453
demean+zca,True,63,train,62,0.009720960971317007,0.06840088022975722,0.17990170151530838,0,trend__acc26_52,-0.23059931750498763,6,1.3582,0.0453
signal+demean,True,63,train,62,0.0110380801185941,0.0641865570351584,0.14416202273607975,0,momentum__rsi_long_velocity,-0.1510350030518868,7,1.3582,0.3572
kalman+none,True,63,train,62,0.01121738240402646,0.0680615541309337,0.14268246613385574,0,trend__vel52_104,0.1638416812042205,8,1.3582,0.3045
raw+none,True,63,train,62,0.010789837897520934,0.06515616678284916,0.14147982650636973,0,trend__vel52_104,0.1638416812042205,7,1.3582,0.3006
demean,True,63,train,62,0.010789837897520934,0.06515616678284916,0.14147982650636973,0,trend__vel52_104,0.1638416812042205,7,1.3582,0.291
volnorm_cs,True,63,train,62,0.010789837897520934,0.06515616678284916,0.14147982650636973,0,trend__vel52_104,0.1638416812042205,7,1.3582,0.3006
signal+demean+hpca,True,63,train,19,0.012732467728913588,0.08129149923720108,0.12533538730751015,0,hpc3_pc2,0.16748740650337238,6,1.1915,0.3033
kalman+hpca,True,63,train,20,0.010262059053840391,0.06923897298950304,0.11793819364097158,0,hpc2_pc11,0.1757081311693007,3,1.1967,0.0925
raw+hpca,True,63,train,20,0.009820506119184641,0.06548474757386087,0.11119855335302775,0,hpc1_pc6,0.1302363089870348,3,1.1967,0.0924
demean+hpca,True,63,train,22,0.00920870047065666,0.06138957256943831,0.1109653212410719,0,hpc2_pc6,-0.1323576189997497,2,1.2067,0.0834
kalman+pca,True,63,train,16,0.009183502138651073,0.061368867152716104,0.10591008344428252,0,pc16,0.12521283531879226,0,1.1751,0.0625
raw+pca,True,63,train,20,0.008420985705280914,0.0571080803984008,0.10560344407736724,0,pc19,0.13066184101604617,0,1.1967,0.05
ssa+none,False,1,val,62,0.07386968164977982,0.4449919770391293,1.1253028815378687,54,trend__acc6_12,1.3479278518400457,6,1.3582,0.3154
ssa+zca,False,1,val,62,0.030127780736987266,0.20749087794416976,0.8142058833894324,32,trend__acc6_12,0.9932464949889218,0,1.3582,0.0161
ssa+hpca,False,1,val,23,0.05583227660289654,0.3615900408423577,0.7811355321100102,16,hpc6_pc1,0.9015022030784575,7,1.2116,0.1153
ssa+pca,False,1,val,15,0.04721067910008139,0.3178899076345171,0.593343432343976,11,pc12,-0.6678931762186994,0,1.1693,0.0667
signal+demean,True,1,val,62,0.012160732133101641,0.06399684167946854,0.15690341519674106,13,volatility__vol_rs7,-0.15750985419081148,7,1.3582,0.3572
raw+none,True,1,val,62,0.011547974950926224,0.06379606517132114,0.1551498909692085,12,volatility__vol20,-0.16341387763201892,7,1.3582,0.3006
demean,True,1,val,62,0.011547974950926224,0.06379606517132114,0.1551498909692085,12,volatility__vol20,-0.16341387763201892,7,1.3582,0.291
volnorm_cs,True,1,val,62,0.011547974950926224,0.06379606517132114,0.1551498909692085,12,volatility__vol20,-0.16341387763201892,7,1.3582,0.3006
kalman+none,True,1,val,62,0.011504665629283334,0.06278389563684565,0.15397930519323566,11,volatility__vol20,-0.16341387763201892,8,1.3582,0.3045
kalman+zca,True,1,val,62,0.007542726265171321,0.05197563371799855,0.13064307857396268,3,momentum__rsi_short_position,-0.14368119030896032,5,1.3582,0.0453
raw+zca,True,1,val,62,0.007500521598101792,0.05191422175737372,0.12806587999769264,4,volatility__vol_rs100,-0.13867325797359648,6,1.3582,0.0453
