ticker,sector,beta_global,beta_sector
LYV,Communication Services,0.5436631800317228,0.2094966978112236
MAA,Real Estate,0.5431208442677635,0.5898607318112706
MAN,Industrials,0.5782637439123735,-0.18653372341248145
MAR,Consumer Cyclical,0.6846285726559856,0.11753711241757295
MAS,Industrials,0.6914699767498159,0.17791366973140982
MATW,Industrials,0.6020757402761364,0.04525150473114523
MCK,Healthcare,0.1689757795408948,-0.004703131645543769
MCRI,Consumer Cyclical,0.5653428179214853,0.0801460043651812
MDT,Healthcare,0.4642821876170378,0.19015465643708082
MDU,Utilities,0.5805509875104933,0.39719410811665645
MDXG,Healthcare,0.34021520232947156,0.2399326669198498
MEDP,Healthcare,0.4016772707632917,0.31697917538983744
META,Communication Services,0.4358595723489091,0.44676396538366353
METC,Basic Materials,0.25077428769329446,0.21547206743081204
MFA,Real Estate,0.6521650364466056,0.2448574771483421
MFIC,Financial Services,0.6179557545860355,-0.060159379045407184
MGA,Consumer Cyclical,0.6816357155763588,0.1616505699809984
MGM,Consumer Cyclical,0.6503129434039225,0.17833122779338692
MGNI,Communication Services,0.48287416114139137,0.48939172336941167
MHK,Consumer Cyclical,0.6996037001235854,0.3112493820089209
MHO,Consumer Cyclical,0.6752851274868252,0.4026481307001059
MKC,Consumer Defensive,0.26831137842966096,0.636938946041968
MKL,Financial Services,0.5294493603033109,0.0649243742483026
MKSI,Technology,0.6398214948993554,0.529451648636356
MLKN,Consumer Cyclical,0.6069665812161609,0.16872526218278086
