representation,horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
base,10,volume__price_zvel12_26,-0.010571763470841225,0.13806037325910372,-0.07657348174049008,2551,255.1,-1.2230201825011655,0.2224551286211511
base,10,volume__obv_zvel12_26,-0.00826330393549959,0.11246613707729392,-0.07347370639946955,2551,255.1,-1.173511034985376,0.2416897277139007
base,10,momentum__cci_short_raw,-0.010484750882567902,0.14336446091537278,-0.07313354241088375,2551,255.1,-1.16807798670359,0.24387010454482724
base,10,momentum__cmf_short_velocity,-0.008332397309228669,0.11418378122165233,-0.07297356262054336,2551,255.1,-1.165522813451292,0.24490033101024056
base,10,momentum__willr_long_velocity,-0.009763503858368789,0.13947140563278707,-0.07000362414124531,2551,255.1,-1.118087400846204,0.2645856155931369
base,10,trend__rel_104,-0.010985591613477376,0.1708314070579801,-0.06430662723364955,2551,255.1,-1.027095819436212,0.3053520739024521
base,10,candle__body_log,-0.009030940162211494,0.14324923709749796,-0.06304354805090429,2551,255.1,-1.006922107891662,0.3149300931435265
base,10,trend__acceleration_12/26,-0.009391076658546679,0.15260420786468268,-0.061538779237817226,2551,255.1,-0.9828881657674046,0.3265974067531078
base,10,trend__velocity_26/52,-0.009631044077193318,0.16775835754604113,-0.05741021918714295,2551,255.1,-0.9169474229426896,0.360039647072024
base,10,volatility__vol_rs100,-0.010823611503874949,0.2082706157074534,-0.05196898019967588,2551,255.1,-0.8300407687299742,0.40729487763269145
base,10,volatility__vol_rs20,-0.01054792580866674,0.20307468955427835,-0.051941115024319466,2551,255.1,-0.8295957103223481,0.40754607618898375
base,10,momentum__cci_long_acceleration,0.006567292274699423,0.13214883254155535,0.04969618080155404,2551,255.1,0.7937399571239419,0.42808743008987366
base,10,volatility__vol_park100,-0.010357616369004275,0.2113656937751303,-0.049003299371863214,2551,255.1,-0.7826733586967731,0.43454774177072547
base,10,candle__range_log,-0.00786216644769585,0.17282460353725504,-0.04549217117689518,2551,255.1,-0.7265941450030832,0.4681434200022952
base,10,volatility__vol100,-0.009751072913257197,0.21689421871613057,-0.044957735484961556,2551,255.1,-0.7180582181700975,0.4733810629699223
base,10,momentum__mfi_short_velocity,-0.005419665702567479,0.12071058917118777,-0.044898013834407585,2551,255.1,-0.7171043529115302,0.4739683619649269
base,10,volatility__vol_rs7,-0.008698839831427467,0.19408989693633258,-0.044818612244824634,2551,255.1,-0.7158361626141145,0.474749815717583
base,10,volatility__vol_park20,-0.009197428877617358,0.20564874412456113,-0.04472397298982039,2551,255.1,-0.7143245986066253,0.4756821642080578
