ticker,shift,sector,cap_bucket,market_cap
GTLS,0,Industrials,mid,9980000000.0
GTN,0,Communication Services,small,371180000.0
GTY,0,Real Estate,small,2060000000.0
GVA,0,Industrials,mid,7020000000.0
GYRE,0,Healthcare,small,574730000.0
HAE,0,Healthcare,mid,3510000000.0
HALO,0,Healthcare,mid,8890000000.0
HAPN,0,Financial Services,small,2320000000.0
HAS,0,Consumer Cyclical,large,12070000000.0
HBAN,0,Financial Services,large,36060000000.0
HBM,0,Basic Materials,mid,9340000000.0
HD,0,Consumer Cyclical,large,347850000000.0
HDB,0,Financial Services,large,129970000000.0
HEI-A,0,Industrials,mid,
HFWA,0,Financial Services,small,1220000000.0
HII,0,Industrials,mid,11110000000.0
HIMX,0,Technology,mid,2510000000.0
HIVE,0,Financial Services,small,1070000000.0000001
HLIT,0,Technology,small,1620000000.0
HLNE,0,Financial Services,mid,4370000000.0
HLX,0,Energy,small,1310000000.0
HMN,0,Financial Services,small,2080000000.0
HON,0,Industrials,large,147140000000.0
HP,0,Energy,mid,3380000000.0
HR,0,Real Estate,mid,7190000000.0
HRB,0,Consumer Cyclical,mid,4720000000.0
HRTG,0,Financial Services,small,762900000.0
HRZN,0,Financial Services,small,301030000.0
HSBC,0,Financial Services,large,322410000000.0
HSIC,0,Healthcare,mid,9680000000.0
HTB,0,Financial Services,small,813500000.0
HTLD,0,Industrials,small,1200000000.0
HTO,0,Utilities,mid,2540000000.0
HTT,0,Financial Services,small,389760000.0
HUBS,0,Technology,mid,9500000000.0
HWC,0,Financial Services,mid,6040000000.0
HWKN,0,Basic Materials,mid,3370000000.0
HZO,0,Consumer Cyclical,small,831340000.0
IBOC,0,Financial Services,mid,4840000000.0
IBP,0,Consumer Cyclical,mid,6250000000.0
ICFI,0,Industrials,small,1290000000.0
IDT,0,Communication Services,small,1430000000.0
IIIN,0,Industrials,small,593300000.0
ILMN,0,Healthcare,large,26710000000.0
IMKTA,0,Consumer Defensive,small,1700000000.0
IMO,0,Energy,large,54830000000.0
INSM,0,Healthcare,large,22410000000.0
INVA,0,Healthcare,small,1740000000.0
INVX,0,Energy,small,1750000000.0
IOSP,0,Basic Materials,small,2040000000.0
IPGP,0,Technology,mid,4550000000.0
IPI,0,Basic Materials,small,455910000.0
IQV,0,Healthcare,large,31900000000.0
IRS,0,Real Estate,small,1290000000.0
IRT,0,Real Estate,mid,4080000000.0
IRTC,0,Healthcare,mid,3910000000.0
