i,j,c0,c_best,best_lag,gain
0,137,0.33303078979258977,0.33303078979258977,0,0.0
0,138,0.29166907371086087,0.29166907371086087,0,0.0
0,139,0.21063880967076734,0.21063880967076734,0,0.0
0,140,0.3400421984584009,0.3400421984584009,0,0.0
0,141,0.23559373457820046,0.23559373457820046,0,0.0
0,142,0.19505117110459544,0.19505117110459544,0,0.0
0,143,0.42185028885728126,0.42185028885728126,0,0.0
0,144,0.21248967888508927,0.21248967888508927,0,0.0
0,145,0.2012722823723069,0.2012722823723069,0,0.0
0,146,0.23331154172255822,0.23331154172255822,0,0.0
0,147,0.3360387486831451,0.3360387486831451,0,0.0
0,148,0.39580677196175873,0.39580677196175873,0,0.0
0,149,0.20868118037544858,0.20868118037544858,0,0.0
0,150,0.1422893595110596,0.1422893595110596,0,0.0
0,151,0.3260341024998671,0.3260341024998671,0,0.0
0,152,0.20936300867527954,0.20936300867527954,0,0.0
0,153,0.247852358716908,0.247852358716908,0,0.0
0,154,0.16222291142212675,0.16222291142212675,0,0.0
0,155,0.15606282632128526,0.15606282632128526,0,0.0
0,156,0.20772156134276604,0.20772156134276604,0,0.0
0,157,0.3435686896174907,0.3435686896174907,0,0.0
0,158,0.29532645317141537,0.29532645317141537,0,0.0
0,159,0.21966405463542255,0.21966405463542255,0,0.0
0,160,0.3199573379981727,0.3199573379981727,0,0.0
0,161,0.2141668677020984,0.2141668677020984,0,0.0
0,162,0.3448040164316573,0.3448040164316573,0,0.0
0,163,0.4306521762522346,0.4306521762522346,0,0.0
0,164,0.16291848491238423,0.16291848491238423,0,0.0
0,165,0.3751456061010004,0.3751456061010004,0,0.0
0,166,0.14936713469927057,0.14936713469927057,0,0.0
0,167,0.09434789263325623,0.09434789263325623,0,0.0
0,168,0.2789460025390661,0.2789460025390661,0,0.0
0,169,0.24539080382561512,0.24539080382561512,0,0.0
0,170,0.34441260179947164,0.34441260179947164,0,0.0
0,171,0.5289192811714086,0.5289192811714086,0,0.0
0,172,0.34299392141831514,0.34299392141831514,0,0.0
0,173,0.3372223190768676,0.3372223190768676,0,0.0
0,174,0.26705738658781886,0.26705738658781886,0,0.0
0,175,0.2939814253019742,0.2939814253019742,0,0.0
0,176,0.3179573040839895,0.3179573040839895,0,0.0
0,177,0.4025113970515032,0.4025113970515032,0,0.0
0,178,0.23301483987328353,0.23301483987328353,0,0.0
0,179,0.3570611625257545,0.3570611625257545,0,0.0
0,180,0.4262855132760702,0.4262855132760702,0,0.0
0,181,0.1334266190149138,0.1334266190149138,0,0.0
0,182,0.3598860907111497,0.3598860907111497,0,0.0
0,183,0.13551065450143254,0.13551065450143254,0,0.0
0,184,0.38711102227845284,0.38711102227845284,0,0.0
0,185,0.3763236412915142,0.3763236412915142,0,0.0
0,186,0.3254213302192678,0.3254213302192678,0,0.0
0,187,0.2775286351240833,0.2775286351240833,0,0.0
0,188,0.10099003056499797,0.10099003056499797,0,0.0
0,189,0.26834315857752666,0.26834315857752666,0,0.0
0,190,0.42159299384611537,0.42159299384611537,0,0.0
0,191,0.13997264203762858,0.13997264203762858,0,0.0
0,192,0.1606494931631074,0.1606494931631074,0,0.0
0,193,0.4901475726125126,0.4901475726125126,0,0.0
0,194,0.2569121695875591,0.2569121695875591,0,0.0
0,195,0.3022791651825437,0.3022791651825437,0,0.0
0,196,0.3441396173534109,0.3441396173534109,0,0.0
0,197,0.2885312006217686,0.2885312006217686,0,0.0
0,198,0.2271377074871805,0.2271377074871805,0,0.0
0,199,0.2963673715150959,0.2963673715150959,0,0.0
1,2,0.22342982713700846,0.22342982713700846,0,0.0
1,3,0.1079602534426685,0.1079602534426685,0,0.0
1,4,0.18644027956395745,0.18644027956395745,0,0.0
1,5,0.1965070823061952,0.1965070823061952,0,0.0
1,6,0.21903549299512895,0.21903549299512895,0,0.0
1,7,0.18901848392204876,0.18901848392204876,0,0.0
1,8,0.23652327316999083,0.23652327316999083,0,0.0
1,9,0.2160475785266379,0.2160475785266379,0,0.0
1,10,0.18607703520996927,0.18607703520996927,0,0.0
1,11,0.18125034672193627,0.18125034672193627,0,0.0
1,12,0.07112969523297143,0.07112969523297143,0,0.0
1,13,0.3488347747749522,0.3488347747749522,0,0.0
1,14,0.23604001112866865,0.23604001112866865,0,0.0
1,15,0.1811674429852036,0.1811674429852036,0,0.0
1,16,0.10585700382150336,0.10585700382150336,0,0.0
1,17,0.1402295945672859,0.1402295945672859,0,0.0
1,18,0.10294954623027279,0.10294954623027279,0,0.0
1,19,0.16102993908912439,0.16102993908912439,0,0.0
1,20,0.13895803855612804,0.13895803855612804,0,0.0
1,21,0.1649233032561147,0.1649233032561147,0,0.0
1,22,0.10645466613839721,0.10645466613839721,0,0.0
1,23,0.08481936993013676,0.08481936993013676,0,0.0
1,24,0.31106388402340424,0.31106388402340424,0,0.0
1,25,0.2694319804664137,0.2694319804664137,0,0.0
1,26,0.1357471560033574,0.1357471560033574,0,0.0
1,27,0.20784037996789395,0.20784037996789395,0,0.0
1,28,0.19520809889663376,0.19520809889663376,0,0.0
1,29,0.2393660700576367,0.2393660700576367,0,0.0
1,30,0.22911433537214046,0.22911433537214046,0,0.0
1,31,0.3070605805307132,0.3070605805307132,0,0.0
1,32,0.24515523226684946,0.24515523226684946,0,0.0
1,33,0.2550505640252556,0.2550505640252556,0,0.0
1,34,0.11331067791896363,0.11331067791896363,0,0.0
1,35,0.17542997141652597,0.17542997141652597,0,0.0
1,36,0.24993674858399834,0.24993674858399834,0,0.0
1,37,0.26980903973325876,0.26980903973325876,0,0.0
1,38,0.1818171822221692,0.1818171822221692,0,0.0
1,39,0.18896570242832186,0.18896570242832186,0,0.0
1,40,0.0939660096875331,0.0939660096875331,0,0.0
1,41,0.13608971010532583,0.13608971010532583,0,0.0
1,42,0.11558637967327312,0.11558637967327312,0,0.0
1,43,0.16012117869404383,0.16012117869404383,0,0.0
1,44,0.07001958119544428,0.07001958119544428,0,0.0
1,45,0.07603623950086165,0.07603623950086165,0,0.0
1,46,0.11223807365345116,0.11223807365345116,0,0.0
1,47,0.07187092144327416,0.07187092144327416,0,0.0
1,48,0.2216949219861445,0.2216949219861445,0,0.0
1,49,0.24248962595231408,0.24248962595231408,0,0.0
1,50,0.28026839185424324,0.28026839185424324,0,0.0
1,51,0.2706558885321153,0.2706558885321153,0,0.0
1,52,0.16121371468465456,0.16121371468465456,0,0.0
1,53,0.24124876479401441,0.24124876479401441,0,0.0
1,54,-0.013875287018897614,0.052749162055833645,4,0.06662444907473127
1,55,0.2791017003334651,0.2791017003334651,0,0.0
1,56,0.2788189480336369,0.2788189480336369,0,0.0
1,57,0.26917013238955656,0.26917013238955656,0,0.0
1,58,0.2674102233979801,0.2674102233979801,0,0.0
1,59,0.07642634889187654,0.07821134126491683,7,0.0017849923730402922
1,60,0.25435230587741325,0.25435230587741325,0,0.0
1,61,0.11029621328134075,0.11029621328134075,0,0.0
1,62,0.27095930534476714,0.27095930534476714,0,0.0
1,63,0.12537657239006797,0.12537657239006797,0,0.0
1,64,0.08626500088746887,0.08626500088746887,0,0.0
1,65,0.1327673675293671,0.1327673675293671,0,0.0
1,66,0.34362901890831193,0.34362901890831193,0,0.0
1,67,0.1109945904298673,0.1109945904298673,0,0.0
